Model,Accuracy,Macro F1,Weighted F1
TF-IDF + LR (tuned),0.6140522078555746,0.5541928130498165,0.6160714566633404
DistilBERT lr=2e-05 (tuned),0.6662600634301049,0.6021277217024821,0.6628688061427662
